device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,algorithm,n_estimators,max_depth,algorithm_value,duration,correct
esp_32_302,244,WH_C_401,12,WH_C_401,0.46,-1,all,-100,0,-100,none,random_forest,50,9,8,0.9906001091003418,True
esp_32_302,244,WH_C_401,12,WH_C_401,0.4,-1,all,-100,0,-100,none,random_forest,50,9,9,0.9601449966430664,True
esp_32_302,244,WH_C_401,12,WH_C_401,0.56,-1,all,-100,0,-100,none,random_forest,50,9,10,0.9628190994262695,True
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.578,-1,all,-100,0,-100,none,random_forest,50,9,sqrt,0.9631140232086182,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.6466666666666666,-1,all,-100,0,-100,none,random_forest,50,9,log2,0.9814798831939697,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.58,-1,all,-100,0,-100,none,random_forest,50,9,None,0.9975652694702148,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.5166666666666666,-1,all,-100,0,-100,none,random_forest,50,9,0.1,1.0051350593566895,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.6383333333333333,-1,all,-100,0,-100,none,random_forest,50,9,0.2,1.0261588096618652,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.6352941176470588,-1,all,-100,0,-100,none,random_forest,50,9,0.3,0.9644286632537842,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.5,-1,all,-100,0,-100,none,random_forest,50,9,0.4,0.9676730632781982,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.527,-1,all,-100,0,-100,none,random_forest,50,9,0.5,0.9757590293884277,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.595,-1,all,-100,0,-100,none,random_forest,50,9,0.6,0.9612669944763184,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.52,-1,all,-100,0,-100,none,random_forest,50,9,0.7,0.9657859802246094,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.52,-1,all,-100,0,-100,none,random_forest,50,9,0.8,0.9590067863464355,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.5091111111111111,-1,all,-100,0,-100,none,random_forest,50,9,0.9,0.962238073348999,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.4928571428571428,-1,all,-100,0,-100,none,random_forest,50,9,1,0.9664959907531738,False
e2696f36-24d4-4eb1-a76c-567120c35689,161,WH_C_354,8,WH_C_334,0.6829999999999999,-1,all,-100,0,-100,none,random_forest,50,9,2,0.9696469306945801,False
