device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,gamma_value,algorithm,algorithm_value,duration,correct
esp_32_209,549,WH_C_457,27,WH_C_457,0.5288452241788961,all,-100,0,-100,none,scale,svm_rbf,10,0.9584329128265381,True
esp_32_209,549,WH_C_457,27,WH_C_457,0.6251630630266761,all,-100,0,-100,none,auto,svm_rbf,10,0.9533660411834717,True
esp_32_209,549,WH_C_457,27,WH_C_457,0.5234719170448967,all,-100,0,-100,none,scale,svm_rbf,100,0.9492039680480957,True
esp_32_209,549,WH_C_457,27,WH_C_457,0.5609906103790127,all,-100,0,-100,none,auto,svm_rbf,100,0.9556329250335693,True
esp_32_209,549,WH_C_457,27,WH_C_457,0.6230780059828755,all,-100,0,-100,none,scale,svm_rbf,1000,0.9454851150512695,True
esp_32_209,549,WH_C_457,27,WH_C_457,0.6198799211444848,all,-100,0,-100,none,auto,svm_rbf,1000,0.9514148235321045,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_334,0.82558526481785,all,-100,0,-100,none,scale,svm_rbf,0.001,0.9972066879272461,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_351,0.8931649154881334,all,-100,0,-100,none,auto,svm_rbf,0.001,0.957996129989624,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_334,0.850525116909993,all,-100,0,-100,none,scale,svm_rbf,0.01,0.9903271198272705,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_351,0.89555499727931,all,-100,0,-100,none,auto,svm_rbf,0.01,0.964885950088501,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_334,0.7778803997657547,all,-100,0,-100,none,scale,svm_rbf,0.1,0.9584908485412598,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_335,0.8861759194883285,all,-100,0,-100,none,auto,svm_rbf,0.1,1.0085630416870117,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_334,0.6096707721050052,all,-100,0,-100,none,scale,svm_rbf,1,0.9899790287017822,True
